iter	Passed	Remaining
0	14	1434
1	29	1423
2	33	1070
3	47	1132
4	61	1175
5	77	1215
6	101	1350
7	117	1351
8	131	1334
9	147	1324
10	162	1315
11	177	1300
12	191	1283
13	205	1261
14	220	1246
15	235	1234
16	248	1215
17	263	1201
18	280	1195
19	304	1216
20	319	1202
21	334	1186
22	350	1173
23	369	1170
24	371	1115
25	387	1103
26	401	1085
27	416	1071
28	431	1056
29	446	1040
30	460	1025
31	475	1010
32	494	1004
33	515	1000
34	532	988
35	546	971
36	560	954
37	574	938
38	590	924
39	606	910
40	622	895
41	638	881
42	652	865
43	667	849
44	682	834
45	698	820
46	721	813
47	738	799
48	753	784
49	768	768
50	783	752
51	797	736
52	811	719
53	826	704
54	841	688
55	856	672
56	871	657
57	890	644
58	912	634
59	933	622
60	949	607
61	964	591
62	979	575
63	994	559
64	1009	543
65	1024	527
66	1038	511
67	1053	495
68	1068	480
69	1082	463
70	1097	448
71	1111	432
72	1130	418
73	1148	403
74	1163	387
75	1179	372
76	1193	356
77	1208	340
78	1223	325
79	1239	309
80	1255	294
81	1270	278
82	1285	263
83	1300	247
84	1316	232
85	1337	217
86	1353	202
87	1369	186
88	1384	171
89	1402	155
90	1419	140
91	1435	124
92	1449	109
93	1464	93
94	1479	77
95	1494	62
96	1508	46
97	1530	31
98	1546	15
99	1561	0
